ObsID	Target	My RA	CSC RA	My DEC	CSC DEC
4023	NGC5953	  233.645920	  233.635000	   15.200060	  233.635000
22914	PKS 1413+135	  213.670510	  213.995000	   13.378171	  213.995000
22916	PKS 1413+135	  213.670510	  213.995000	   13.378171	  213.995000
22917	PKS 1413+135	  213.670510	  213.995000	   13.378171	  213.995000
22918	PKS 1413+135	  213.670510	  213.995000	   13.378171	  213.995000
3211	ABELL 2147	  240.074260	  240.530000	   15.756570	  240.530000
18149	Teacup AGN	  217.460690	  217.624583	   13.799658	  217.624583
22589	SDSS J143029.88+133912.0	  217.460690	  217.624458	   13.799658	  217.624458
22972	SDSS J143029.88+133912.0	  217.460690	  217.624458	   13.799658	  217.624458
22973	SDSS J143029.88+133912.0	  217.460690	  217.624458	   13.799658	  217.624458
23088	SDSS J143029.88+133912.0	  217.460690	  217.624458	   13.799658	  217.624458
23243	SDSS J143029.88+133912.0	  217.460690	  217.624458	   13.799658	  217.624458
14932	NGC 5373	  209.050000	  209.281250	    5.014470	  209.281250
5188	Regulus	  151.865390	  152.093750	   12.274510	  152.093750
12767	SDSSJ110505.15+111541.0	  166.633770	  166.271667	   11.385420	  166.271667
14934	PGC 3091110	  139.199290	  139.332083	   11.452690	  139.332083
19318	NGC2513	  120.657740	  120.602917	    9.500090	  120.602917
16759	PSR B0943+10	  146.703960	  146.532083	    9.736130	  146.532083
11122	SN2010jl	  145.962390	  145.722208	    9.656130	  145.722208
11237	SN 2010jl	  145.962390	  145.722208	    9.656130	  145.722208
11702	SDSS J094417.85+093019.4	  145.962390	  146.074583	    9.656130	  146.074583
13199	SN2010jl	  145.962390	  145.722208	    9.656130	  145.722208
13781	SN 2010jl	  145.962390	  145.722083	    9.656130	  145.722083
13782	SN 2010jl	  145.962390	  145.722083	    9.656130	  145.722083
15003	3C226	  145.962390	  146.068333	    9.656130	  146.068333
15869	SN 2010jl	  145.962390	  145.722083	    9.656130	  145.722083
19164	SN 2010jl	  145.962390	  145.722200	    9.656130	  145.722200
23775	NSA 51928	  145.962390	  146.080792	    9.656130	  146.080792
10399	CGCG049-057	  228.304560	  228.304583	    7.225510	  228.304583
24764	RX J0859.1+0537	  134.954360	  134.788250	    5.060860	  134.788250
14387	NSC J113249+143108	  173.145400	  173.239583	   14.189230	  173.239583
18223	CSWA 11	  120.005730	  120.054583	    8.006150	  120.054583
22716	CSWA 11	  120.005730	  120.054417	    8.006150	  120.054417
23058	CSWA 11	  120.005730	  120.054417	    8.006150	  120.054417
23122	CSWA 11	  120.005730	  120.054417	    8.006150	  120.054417
19318	NGC2513	  120.319210	  120.602917	    9.264820	  120.602917
6884	SDSS J111316.42+091439.0	  168.165900	  168.318333	    9.055840	  168.318333
17072	Mrk 731	  168.165900	  168.165833	    9.055840	  168.165833
24717	J111208.75+085030.4	  168.165900	  168.036500	    9.055840	  168.036500
9254	3CR 267	  177.083820	  177.485417	   12.716570	  177.485417
9406	HCG 59	  177.083820	  177.112500	   12.716570	  177.112500
21522	J160627.53+135547.7	  241.258130	  241.614583	   13.701220	  241.614583
3026	QSO J1603+0721	  240.548470	  240.837125	    7.086100	  240.837125
18158	MCG+01-38-005	  222.728980	  222.714583	    4.948916	  222.714583
11363	NGC6017	  239.314340	  239.315000	    5.998380	  239.315000
22973	SDSS J143029.88+133912.0	  217.197610	  217.624458	   13.821200	  217.624458
23243	SDSS J143029.88+133912.0	  217.197610	  217.624458	   13.821200	  217.624458
6821	SDSS J0942+0422	  145.547830	  145.508333	    4.673140	  145.508333
11122	SN2010jl	  145.874190	  145.722208	    9.420770	  145.722208
11237	SN 2010jl	  145.874190	  145.722208	    9.420770	  145.722208
11702	SDSS J094417.85+093019.4	  145.874190	  146.074583	    9.420770	  146.074583
13199	SN2010jl	  145.874190	  145.722208	    9.420770	  145.722208
13781	SN 2010jl	  145.874190	  145.722083	    9.420770	  145.722083
13782	SN 2010jl	  145.874190	  145.722083	    9.420770	  145.722083
15003	3C226	  145.874190	  146.068333	    9.420770	  146.068333
15869	SN 2010jl	  145.874190	  145.722083	    9.420770	  145.722083
19164	SN 2010jl	  145.874190	  145.722200	    9.420770	  145.722200
11702	SDSS J094417.85+093019.4	  146.372370	  146.074583	    9.602897	  146.074583
15003	3C226	  146.372370	  146.068333	    9.602897	  146.068333
16759	PSR B0943+10	  146.372370	  146.532083	    9.602897	  146.532083
23775	NSA 51928	  146.372370	  146.080792	    9.602897	  146.080792
19318	NGC2513	  120.602950	  120.602917	    9.597140	  120.602917
12982	NGC 5964	  234.401350	  234.401250	    5.973420	  234.401250
18223	CSWA 11	  120.116620	  120.054583	    7.815810	  120.054583
23058	CSWA 11	  120.116620	  120.054417	    7.815810	  120.054417
11702	SDSS J094417.85+093019.4	  146.344630	  146.074583	    9.767330	  146.074583
12706	SDSS J094533.99+100950.1	  146.344630	  146.391667	    9.767330	  146.391667
15003	3C226	  146.344630	  146.068333	    9.767330	  146.068333
16759	PSR B0943+10	  146.344630	  146.532083	    9.767330	  146.532083
22529	SDSS J0945+1009	  146.344630	  146.391583	    9.767330	  146.391583
23775	NSA 51928	  146.344630	  146.080792	    9.767330	  146.080792
21526	J101629.88+073404.9	  153.925460	  154.124583	    7.327860	  154.124583
13951	SDSS J135646.11+102609.1	  209.144000	  209.192083	   10.191220	  209.192083
17047	SDSS J135646.10+102609.0	  209.144000	  209.192083	   10.191220	  209.192083
18826	SDSS J135646.10+102609.0	  209.144000	  209.192083	   10.191220	  209.192083
20485	NVSS J162830+115403	  247.433780	  247.126667	   11.847120	  247.126667
19318	NGC2513	  120.545610	  120.602917	    9.361615	  120.602917
4693	NGC 3412	  162.722000	  162.720833	   13.412130	  162.720833
5519	PSR B1133+16	  173.784540	  174.013125	   15.958630	  174.013125
1637	NGC 3623	  169.733170	  169.731667	   13.092220	  169.731667
2039	NGC 3628	  169.733170	  170.070833	   13.092220	  170.070833
9548	NGC 3627	  169.733170	  170.062917	   13.092220	  170.062917
21477	NGC 3346	  160.912130	  160.912083	   14.871860	  160.912083
23777	NSA 104881	  120.118980	  120.119000	   15.453100	  120.119000
17194	RXJ0821.0+0752	  125.683792	  125.259167	    8.218939	  125.259167
17563	RXJ0821.0+0752	  125.683792	  125.259167	    8.218939	  125.259167
9154	SDSS J102258.41+123429.7	  155.952170	  155.743333	   12.629830	  155.743333
5929	NGC 3351	  160.990420	  160.991667	   11.703810	  160.991667
5930	NGC 3351	  160.990420	  160.991667	   11.703810	  160.991667
5931	NGC 3351	  160.990420	  160.991667	   11.703810	  160.991667
13765	SN 2012aw	  160.990420	  160.974000	   11.703810	  160.974000
21001	SN2012aw	  160.990420	  160.975000	   11.703810	  160.975000
5591	PSR J1537+1155	  234.715420	  234.291500	   12.080650	  234.291500
16346	NGC3423	  162.809710	  162.809583	    5.840030	  162.809583
5519	PSR B1133+16	  173.901640	  174.013125	   15.975044	  174.013125
9254	3CR 267	  177.135200	  177.485417	   12.705293	  177.485417
9406	HCG 59	  177.135200	  177.112500	   12.705293	  177.112500
2934	NGC3377	  161.926670	  161.924167	   13.985640	  161.924167
12808	NGC 3367	  161.926670	  161.645833	   13.985640	  161.645833
392	NGC 3489	  165.077370	  165.075417	   13.901220	  165.075417
21353	SN 2000ew	  175.244820	  175.243750	   11.471141	  175.243750
395	NGC 3628	  170.070890	  170.067500	   13.589687	  170.067500
2039	NGC 3628	  170.070890	  170.070833	   13.589687	  170.070833
2918	NGC 3628	  170.070890	  170.156250	   13.589687	  170.156250
2919	NGC 3628	  170.070890	  170.156250	   13.589687	  170.156250
13972	2MASX J10055117+1257403	  151.463300	  151.463333	   12.961300	  151.463333
1587	NGC3379	  162.070360	  161.958333	   12.629270	  161.958333
4692	NGC 3384	  162.070360	  162.070833	   12.629270	  162.070833
7073	NGC3379	  162.070360	  161.957083	   12.629270	  161.957083
7074	NGC3379	  162.070360	  161.957083	   12.629270	  161.957083
7075	NGC3379	  162.070360	  161.957083	   12.629270	  161.957083
7076	NGC3379	  162.070360	  161.957083	   12.629270	  161.957083
11782	NGC3384	  162.070360	  162.070417	   12.629270	  162.070417
13829	NGC 3384	  162.070360	  162.070417	   12.629270	  162.070417
9154	SDSS J102258.41+123429.7	  155.409370	  155.743333	   12.576123	  155.743333
11852	PG 1001+054	  151.198610	  151.083750	    5.368597	  151.083750
23168	PG 1001+054	  151.198610	  151.072586	    5.368597	  151.072586
5627	CXOMP J084128.3+131107	  130.816670	  130.366667	   13.085860	  130.366667
19318	NGC2513	  120.865180	  120.602917	    9.709965	  120.602917
23777	NSA 104881	  120.248370	  120.119000	   15.624780	  120.119000
13310	SDSS J1608+0715	  242.071960	  242.182917	    7.538500	  242.182917
18223	CSWA 11	  120.180300	  120.054583	    8.638814	  120.054583
15161	ZwCl 1665	  125.508210	  125.797917	    4.392730	  125.797917
13932	SDSS J080137.06+134022.7	  120.158580	  120.404583	   13.656393	  120.404583
19318	NGC2513	  120.626600	  120.602917	    9.075999	  120.602917
9254	3CR 267	  177.378000	  177.485417	   12.677094	  177.485417
9406	HCG 59	  177.378000	  177.112500	   12.677094	  177.112500
18223	CSWA 11	  120.399414	  120.054583	    8.100156	  120.054583
23058	CSWA 11	  120.399414	  120.054417	    8.100156	  120.054417
23122	CSWA 11	  120.399414	  120.054417	    8.100156	  120.054417
9254	3CR 267	  177.127770	  177.485417	   12.729800	  177.485417
9406	HCG 59	  177.127770	  177.112500	   12.729800	  177.112500
2095	3C 228	  147.269540	  147.544583	   13.880750	  147.544583
2453	3C 228	  147.269540	  147.544583	   13.880750	  147.544583
20565	SDSSJ0957+0509	  149.674040	  149.412500	    5.264360	  149.412500
11712	MACS J0940.9+0744	  145.128360	  145.223750	    7.489430	  145.223750
14387	NSC J113249+143108	  173.138330	  173.239583	   14.200830	  173.239583
2930	NGC 5954	  233.920130	  233.646250	   15.549004	  233.646250
4023	NGC5953	  233.920130	  233.635000	   15.549004	  233.635000
15161	ZwCl 1665	  125.556550	  125.797917	    4.197700	  125.797917
25056	AT2019avd	  125.556550	  125.903198	    4.197700	  125.903198
25060	AT2019avd	  125.556550	  125.903198	    4.197700	  125.903198
17037	SDSS J152637.36+065941.6	  231.894920	  231.655833	    6.900513	  231.655833
22507	J142615.1+100213.5	  216.589240	  216.562800	   10.163340	  216.562800
7875	PKS 1413+135	  214.053151	  213.995000	   13.454945	  213.995000
22914	PKS 1413+135	  214.053151	  213.995000	   13.454945	  213.995000
22915	PKS 1413+135	  214.053151	  213.995000	   13.454945	  213.995000
22916	PKS 1413+135	  214.053151	  213.995000	   13.454945	  213.995000
22917	PKS 1413+135	  214.053151	  213.995000	   13.454945	  213.995000
22918	PKS 1413+135	  214.053151	  213.995000	   13.454945	  213.995000
19318	NGC2513	  120.393700	  120.602917	    9.304851	  120.602917
17538	SDSS J152304.97+114553.6	  231.053530	  230.770833	   11.693884	  230.770833
394	NGC 3627	  170.577330	  170.062083	   13.065050	  170.062083
23698	MCG2-30-017	  175.505233	  175.570292	   13.698738	  175.570292
13932	SDSS J080137.06+134022.7	  120.228580	  120.404583	   13.396780	  120.404583
5606	PG 1004+130	  151.795750	  151.858750	   12.651360	  151.858750
16034	PG 1004+130	  151.795750	  151.858750	   12.651360	  151.858750
13951	SDSS J135646.11+102609.1	  209.097570	  209.192083	   10.103817	  209.192083
17047	SDSS J135646.10+102609.0	  209.097570	  209.192083	   10.103817	  209.192083
18826	SDSS J135646.10+102609.0	  209.097570	  209.192083	   10.103817	  209.192083
434	3C 212	  134.642400	  134.671667	   13.928279	  134.671667
24764	RX J0859.1+0537	  134.624350	  134.788250	    6.321260	  134.788250
11122	SN2010jl	  146.080780	  145.722208	    9.984620	  145.722208
11702	SDSS J094417.85+093019.4	  146.080780	  146.074583	    9.984620	  146.074583
12706	SDSS J094533.99+100950.1	  146.080780	  146.391667	    9.984620	  146.391667
13199	SN2010jl	  146.080780	  145.722208	    9.984620	  145.722208
15003	3C226	  146.080780	  146.068333	    9.984620	  146.068333
22529	SDSS J0945+1009	  146.080780	  146.391583	    9.984620	  146.391583
23775	NSA 51928	  146.080780	  146.080792	    9.984620	  146.080792
15161	ZwCl 1665	  125.608030	  125.797917	    4.163250	  125.797917
25056	AT2019avd	  125.608030	  125.903198	    4.163250	  125.903198
25060	AT2019avd	  125.608030	  125.903198	    4.163250	  125.903198
17071	NGC3773	  174.554040	  174.554167	   12.111920	  174.554167
11122	SN2010jl	  145.678710	  145.722208	    9.456140	  145.722208
11237	SN 2010jl	  145.678710	  145.722208	    9.456140	  145.722208
13199	SN2010jl	  145.678710	  145.722208	    9.456140	  145.722208
13781	SN 2010jl	  145.678710	  145.722083	    9.456140	  145.722083
13782	SN 2010jl	  145.678710	  145.722083	    9.456140	  145.722083
15869	SN 2010jl	  145.678710	  145.722083	    9.456140	  145.722083
19164	SN 2010jl	  145.678710	  145.722200	    9.456140	  145.722200
20408	J1405+0415	  211.066010	  211.254583	    4.112190	  211.254583
23649	QSO B1402+044	  211.066010	  211.254583	    4.112190	  211.254583
24316	QSO B1402+044	  211.066010	  211.254583	    4.112190	  211.254583
24317	QSO B1402+044	  211.066010	  211.254583	    4.112190	  211.254583
25011	QSO B1402+044	  211.066010	  211.254583	    4.112190	  211.254583
25014	QSO B1402+044	  211.066010	  211.254583	    4.112190	  211.254583
9205	[BTW2010] SS2	  143.781150	  143.731667	    5.120070	  143.731667
11122	SN2010jl	  145.733770	  145.722208	    9.475140	  145.722208
11237	SN 2010jl	  145.733770	  145.722208	    9.475140	  145.722208
13199	SN2010jl	  145.733770	  145.722208	    9.475140	  145.722208
13781	SN 2010jl	  145.733770	  145.722083	    9.475140	  145.722083
13782	SN 2010jl	  145.733770	  145.722083	    9.475140	  145.722083
15003	3C226	  145.733770	  146.068333	    9.475140	  146.068333
15869	SN 2010jl	  145.733770	  145.722083	    9.475140	  145.722083
19164	SN 2010jl	  145.733770	  145.722200	    9.475140	  145.722200
12808	NGC 3367	  161.339390	  161.645833	   13.714204	  161.645833
5606	PG 1004+130	  151.988000	  151.858750	   13.227420	  151.858750
16034	PG 1004+130	  151.988000	  151.858750	   13.227420	  151.858750
13314	QSO J1538+0855	  234.726200	  234.627083	    8.593711	  234.627083
15053	IC 2810	  171.213200	  171.447083	   14.795790	  171.447083
13321	SDSS J111119.10+133603.9	  167.623410	  167.829583	   13.766150	  167.829583
17082	SDSS J111119.10+133603.8	  167.623410	  167.829583	   13.766150	  167.829583
3968	3C296	  213.959840	  214.220417	   10.961308	  214.220417
19318	NGC2513	  120.527290	  120.602917	    9.377318	  120.602917
11237	SN 2010jl	  146.012120	  145.722208	    9.374210	  145.722208
11702	SDSS J094417.85+093019.4	  146.012120	  146.074583	    9.374210	  146.074583
13781	SN 2010jl	  146.012120	  145.722083	    9.374210	  145.722083
15003	3C226	  146.012120	  146.068333	    9.374210	  146.068333
13325	SDSS J0947+1421	  146.670500	  146.892500	   14.197766	  146.892500
13932	SDSS J080137.06+134022.7	  120.696430	  120.404583	   13.758650	  120.404583
18223	CSWA 11	  120.416790	  120.054583	    8.589649	  120.054583
19439	SDSS J154543.55+085801.3	  236.612950	  236.431667	    8.656910	  236.431667
3211	ABELL 2147	  240.065100	  240.530000	   15.769222	  240.530000
7875	PKS 1413+135	  214.284650	  213.995000	   13.687100	  213.995000
22914	PKS 1413+135	  214.284650	  213.995000	   13.687100	  213.995000
22915	PKS 1413+135	  214.284650	  213.995000	   13.687100	  213.995000
22918	PKS 1413+135	  214.284650	  213.995000	   13.687100	  213.995000
5704	SDSS J143752.76+042854.5	  219.787870	  219.470000	    4.551810	  219.470000
24717	J111208.75+085030.4	  168.064320	  168.036500	    8.628677	  168.036500
15386	ngc5248	  203.939700	  204.383333	    8.969070	  204.383333
13935	SDSS J114702.51+162534.5	  176.733070	  176.760417	   15.940080	  176.760417
18230	[SMS2007] 14	  176.996000	  176.698333	   10.140500	  176.698333
20503	ClG J114820+102108	  176.996000	  177.091250	   10.140500	  177.091250
7831	NGC 3299	  159.391775	  159.099167	   12.464972	  159.099167
5626	3C 191	  121.636630	  121.199583	   10.130069	  121.199583
19318	NGC2513	  120.624100	  120.602917	    9.462021	  120.602917
11122	SN2010jl	  145.757788	  145.722208	    9.252591	  145.722208
11237	SN 2010jl	  145.757788	  145.722208	    9.252591	  145.722208
11702	SDSS J094417.85+093019.4	  145.757788	  146.074583	    9.252591	  146.074583
13199	SN2010jl	  145.757788	  145.722208	    9.252591	  145.722208
13781	SN 2010jl	  145.757788	  145.722083	    9.252591	  145.722083
13782	SN 2010jl	  145.757788	  145.722083	    9.252591	  145.722083
15869	SN 2010jl	  145.757788	  145.722083	    9.252591	  145.722083
19164	SN 2010jl	  145.757788	  145.722200	    9.252591	  145.722200
2130	3C 207	  130.190380	  130.200000	   13.706766	  130.200000
15708	Wasp-38	  243.714550	  243.960000	    9.673321	  243.960000
10399	CGCG049-057	  228.424250	  228.304583	    6.934254	  228.304583
12808	NGC 3367	  161.360250	  161.645833	   13.444810	  161.645833
18149	Teacup AGN	  217.682080	  217.624583	   13.952403	  217.624583
22589	SDSS J143029.88+133912.0	  217.682080	  217.624458	   13.952403	  217.624458
22972	SDSS J143029.88+133912.0	  217.682080	  217.624458	   13.952403	  217.624458
22973	SDSS J143029.88+133912.0	  217.682080	  217.624458	   13.952403	  217.624458
23088	SDSS J143029.88+133912.0	  217.682080	  217.624458	   13.952403	  217.624458
22307	HD 141004	  236.540520	  236.610875	    6.898470	  236.610875
5519	PSR B1133+16	  174.053830	  174.013125	   15.733140	  174.013125
4875	Mrk 1210	  121.154654	  121.024167	    5.358858	  121.024167
9264	UGC 4203	  121.154654	  121.024167	    5.358858	  121.024167
9265	UGC 4203	  121.154654	  121.024167	    5.358858	  121.024167
9266	UGC 4203	  121.154654	  121.024167	    5.358858	  121.024167
9267	UGC 4203	  121.154654	  121.024167	    5.358858	  121.024167
9268	UGC 4203	  121.154654	  121.024167	    5.358858	  121.024167
14932	NGC 5373	  209.231580	  209.281250	    5.151880	  209.281250
2934	NGC3377	  161.864320	  161.924167	   13.889750	  161.924167
12808	NGC 3367	  161.864320	  161.645833	   13.889750	  161.645833
9154	SDSS J102258.41+123429.7	  155.861380	  155.743333	   12.815530	  155.743333
15161	ZwCl 1665	  125.901200	  125.797917	    4.247260	  125.797917
25056	AT2019avd	  125.901200	  125.903198	    4.247260	  125.903198
25060	AT2019avd	  125.901200	  125.903198	    4.247260	  125.903198
1630	PG1115+080	  170.030440	  169.570417	    7.335730	  169.570417
17107	3C190	  120.727830	  120.389583	   14.425280	  120.389583
5606	PG 1004+130	  151.888300	  151.858750	   13.106560	  151.858750
16034	PG 1004+130	  151.888300	  151.858750	   13.106560	  151.858750
13368	SDSS J114358.52+052444.9	  176.017270	  175.993750	    5.234110	  175.993750
18223	CSWA 11	  120.485870	  120.054583	    8.125941	  120.054583
22356	HD 114174	  197.276960	  197.212583	    5.243110	  197.212583
15329	NGC2940	  144.374920	  144.521667	    9.552170	  144.521667
6842	3C227	  146.910960	  146.907917	    7.018030	  146.907917
7265	3C227	  146.910960	  146.907917	    7.018030	  146.907917
2934	NGC3377	  161.761510	  161.924167	   13.567080	  161.924167
12808	NGC 3367	  161.761510	  161.645833	   13.567080	  161.645833
24764	RX J0859.1+0537	  134.604240	  134.788250	    6.335040	  134.788250
2402	KIG 0284	  131.551910	  131.419000	    7.267060	  131.419000
13336	SDSS J0904+1309	  135.943760	  136.097500	   12.734658	  136.097500
18223	CSWA 11	  120.195910	  120.054583	    8.638900	  120.054583
19318	NGC2513	  120.640330	  120.602917	    9.389835	  120.602917
5629	2MASS J11135466+1244390	  168.654150	  168.477917	   12.817670	  168.477917
7084	NGC 3593	  168.654150	  168.654167	   12.817670	  168.654167
11852	PG 1001+054	  151.245290	  151.083750	    5.364670	  151.083750
23168	PG 1001+054	  151.245290	  151.072586	    5.364670	  151.072586
9254	3CR 267	  177.300960	  177.485417	   12.631580	  177.485417
9406	HCG 59	  177.300960	  177.112500	   12.631580	  177.112500
9254	3CR 267	  177.074550	  177.485417	   12.725880	  177.485417
9406	HCG 59	  177.074550	  177.112500	   12.725880	  177.112500
19318	NGC2513	  120.491970	  120.602917	    9.390061	  120.602917
19558	SDSSJ155837.77+081345.8	  239.979230	  239.657500	    7.987860	  239.657500
15329	NGC2940	  144.589050	  144.521667	    9.895460	  144.521667
19318	NGC2513	  120.643840	  120.602917	    9.671571	  120.602917
18230	[SMS2007] 14	  176.474030	  176.698333	    9.899780	  176.698333
21565	eMACSJ0935.1+0614	  144.035790	  143.763333	    6.257060	  143.763333
13932	SDSS J080137.06+134022.7	  120.121130	  120.404583	   13.308440	  120.404583
13933	SDSS J075952.64+141358.9	  119.986540	  119.969167	   13.842530	  119.969167
14947	SDSS J094808.39+161414.1	  147.084530	  147.035000	   15.848564	  147.035000
20404	J0909+0354	  137.316670	  137.316250	    4.113150	  137.316250
22568	SDSS J090915.91+035442.7	  137.316670	  137.316250	    4.113150	  137.316250
23161	SDSS J090915.91+035442.7	  137.316670	  137.316250	    4.113150	  137.316250
23162	SDSS J090915.91+035442.7	  137.316670	  137.316250	    4.113150	  137.316250
9406	HCG 59	  177.056250	  177.112500	   12.655330	  177.112500
9096	SN 2005ip	  143.407420	  143.026667	    8.463880	  143.026667
13861	SDSS J131659.37+035319.8	  199.372000	  199.247500	    4.059700	  199.247500
9250	3CR 208	  133.473920	  133.285833	   13.569548	  133.285833
